Archetype,Keywords,Core Desire,Brand Promise,Voice,Visual Direction,Best For,Avoid
Creator,"creative inventive expressive craft original design",Create something meaningful,"Turn imagination into something real","Imaginative, articulate, purposeful","Distinctive geometry, expressive layouts, crafted details","Design tools, studios, maker products, creative technology","Generic templates, trend-chasing without purpose"
Ruler,"authority premium control leadership dependable structured",Create order and stability,"Confidence through control and standards","Decisive, polished, composed","Strong grids, restrained luxury, formal typography","Enterprise software, finance, executive services, premium brands","Cold arrogance, excessive ornament"
Caregiver,"helpful compassionate supportive safe human service",Protect and care for others,"You are supported and looked after","Warm, reassuring, plainspoken","Soft shapes, approachable photography, calm palettes","Healthcare, senior services, education, nonprofits","Infantilizing language, clinical sterility"
Explorer,"independent adventurous rugged discovery freedom outdoor",Find freedom through discovery,"Go farther with confidence","Direct, optimistic, capable","Open compositions, terrain-inspired forms, authentic imagery","Outdoor brands, travel, field operations, mobility","Overly polished artificial imagery"
Sage,"expert intelligent evidence clarity knowledge trusted",Understand the world,"Make better decisions through knowledge","Clear, measured, insightful","Editorial structure, data-forward layouts, disciplined typography","Analytics, education, consulting, research, professional tools","Jargon overload, unsupported claims"
Hero,"capable bold resilient performance courageous action",Prove mastery through action,"Rise to the challenge and succeed","Confident, energetic, motivating","Dynamic angles, high contrast, performance imagery","Industrial services, sports, operations, transformation products","Aggression without empathy, empty bravado"
Everyperson,"practical familiar honest accessible community",Belong and connect,"Made for people like us","Friendly, straightforward, grounded","Familiar patterns, candid imagery, accessible typography","Local services, community platforms, mass-market tools","Pretension, exclusivity cues"
Magician,"transformative visionary surprising possibility innovation",Create transformation,"Make the difficult feel possible","Visionary, intriguing, confident","Layered light, transformation motifs, controlled visual drama","AI products, innovation platforms, entertainment technology","Mystery that obscures usability"
Jester,"playful humorous energetic irreverent fun",Bring joy,"Make the experience enjoyable","Witty, lively, conversational","Bold color, expressive illustration, unexpected details","Entertainment, youth brands, social products","Humor in serious or high-risk moments"
Innocent,"simple optimistic pure calm trustworthy",Find simplicity and goodness,"A simpler, brighter path","Positive, sincere, uncomplicated","Light palettes, generous whitespace, simple forms","Wellness, family products, sustainable consumer brands","Naivety, vague promises"
Lover,"sensory intimate elegant passionate connection",Create connection and appreciation,"Feel deeply connected to the experience","Warm, evocative, refined","Rich material cues, elegant typography, intimate imagery","Hospitality, beauty, fashion, luxury experiences","Clichéd romance, inaccessible contrast"
Outlaw,"disruptive rebellious unconventional fearless change",Break limiting rules,"There is a better way than the status quo","Provocative, candid, fearless","Raw typography, sharp contrast, unconventional composition","Challenger brands, culture products, disruptive startups","Rebellion that damages trust or clarity"
